date;tavg;tmin;tmax;prcp;wdir;wspd;pres
2022-04-30;8,8;5,2;12,5;0;7;12,8;1027,9
2022-05-01;9,6;2,5;15,1;0;9;6,5;1024,1
2022-05-02;12,8;7,1;17,9;0;21;12;1019,9
2022-05-03;12,6;7,6;17,5;0;13;12,7;1019,3
2022-05-04;12,4;7;18,1;0;346;7,6;1019,4
2022-05-05;13,2;9,4;17,7;0,3;262;7,2;1022,4
2022-05-06;13,8;8,4;20,5;0;280;5,4;1025,8
2022-05-07;14,9;10,5;20,5;0,5;300;8,7;1024,1
2022-05-08;14,9;10,8;19,6;0;32;12,3;1026,6
2022-05-09;16,6;8,8;24,1;0;106;9;1024,8
2022-05-10;18,9;12,7;24,2;0;201;13,1;1018
2022-05-11;18,1;13,1;23,3;0;235;12,6;1012,5
2022-05-12;15,2;11,7;19,2;0;241;11;1018,4
2022-05-13;13,7;8,7;18,6;0;238;12;1021,2
2022-05-14;15,9;8,5;22,1;0;247;7,7;1021,7
2022-05-15;19,8;11;27,1;0;92;9,9;1017,3
2022-05-16;19,5;17,3;22,7;0,3;209;13,1;1015,9
2022-05-17;20,8;14,5;27,1;0;178;11,3;1019,4
2022-05-18;21,7;16,5;26,6;0;261;6,6;1020,1
2022-05-19;19,1;15,2;25,8;28,4;73;12;1018,3
2022-05-20;15,1;12,5;19,6;5,3;108;11;1019,1
2022-05-21;15,1;10,1;19,9;0;247;11,9;1021,9
2022-05-22;17,2;9,6;23,1;0;91;5,7;1015,4
2022-05-23;16,2;13,7;22;18,3;146;8,7;1002,6
2022-05-24;12,5;10,7;15,9;7,4;227;12,5;1006,8
2022-05-25;13,8;8,9;18,1;0;225;13,7;1015,9
2022-05-26;15,7;13,2;19,3;0;237;15,6;1021,8
2022-05-27;14,8;12,3;18,7;2,3;283;13,5;1023,1
2022-05-28;12,2;7,4;16,2;0;302;11,7;1022,9
2022-05-29;10,1;8,5;13,2;5,6;331;9,9;1017,3
2022-05-30;10,7;4,5;15,5;0;20;5,6;1014,3
2022-05-31;13,2;8,8;18,6;0,8;184;7,8;1013,2
2022-06-01;12,2;7,1;16,9;0;253;11;1016,4
2022-06-02;14,4;6,3;20,7;0;70;7,7;1020,5
2022-06-03;18,3;10,8;23,8;1,5;75;9,8;1017
2022-06-04;19,6;14,4;25,6;4,8;50;13,2;1017,9
2022-06-05;17;15,3;19,5;16,8;344;9,4;1014,2
2022-06-06;15,2;11,8;18,9;0;235;13,8;1015,7
2022-06-07;14,9;10,9;19,1;1,8;226;8,9;1013,9
2022-06-08;14,9;12,6;18,5;20,6;196;12,2;1008,6
2022-06-09;16,1;11,5;21;0,5;249;10,7;1015,4
2022-06-10;18,4;14,9;22,5;0;205;13,1;1021,5
2022-06-11;18,4;15,2;22,7;0,5;246;9,5;1022,9
2022-06-12;16,5;10,7;21,8;0;259;9,3;1023,4
2022-06-13;15,3;11,9;19,1;0;303;10,8;1023,6
2022-06-14;15,9;8,4;21,9;0;74;7,8;1022,5
2022-06-15;20,1;12,7;26,2;0;44;9,2;1018,3
2022-06-16;20,1;15,2;24,9;0;54;8,1;1021,6
2022-06-17;23,3;15,4;29,7;0;171;11;1022,4
2022-06-18;26,1;19,3;32,6;0;207;9;1016
2022-06-19;16,7;12,8;24;5,2;11;15,5;1011,7
2022-06-20;16,1;13;20,3;0,8;11;12,2;1016,2
2022-06-21;15,9;10,6;20,7;0;53;9,9;1015,2
2022-06-22;20,6;13,1;26,5;0;43;10,7;1012,3
2022-06-23;23,1;17,1;27,6;1;157;11,6;1010,3
2022-06-24;19,3;16,4;22,9;14,5;203;8,7;1007,6
2022-06-25;17,3;14,6;21,9;4,8;196;11,3;1011,1
2022-06-26;16,8;12,9;21;0;171;8,1;1015
2022-06-27;16,1;13,3;19,6;5,1;215;6,5;1017,4
2022-06-28;18;10,5;24,4;0;169;6,6;1020,2
2022-06-29;21;14;26,6;0;177;7,1;1013,8
2022-06-30;15,1;12,4;19,2;12,7;259;8;1013,3
2022-07-01;15,8;11,1;20,2;0;219;9,6;1018,6
2022-07-02;18,4;11,9;23,6;0;195;7,8;1020,9
2022-07-03;17,6;13,8;21,4;0;268;10,5;1019,6
2022-07-04;17,7;10,9;23,4;0;251;8,6;1021,1
2022-07-05;16,8;11,1;22,3;0;294;8,7;1023,5
2022-07-06;16,9;9,8;21,8;0;273;6,9;1026,2
2022-07-07;16,7;14,7;18,8;0,8;306;15,6;1025,7
2022-07-08;17,8;9,6;24,7;0;317;7,1;1031,6
2022-07-09;18,3;14,4;23;0;290;11,3;1028,5
2022-07-10;17,7;11,6;22,9;0;350;9;1027,2
2022-07-11;19,5;12,8;25;0;36;6,2;1024,3
2022-07-12;22,1;13,6;29,5;0;137;6,2;1024,1
2022-07-13;23,8;21;29;0;253;10,7;1021,1
2022-07-14;19,7;16,5;24;0,3;21;11,1;1020,9
2022-07-15;17,5;11,7;22,4;0;331;9,2;1023,5
2022-07-16;18,4;12,1;23,8;0;329;9,5;1024,4
2022-07-17;19,9;12,2;26,5;0;67;7,4;1026,6
2022-07-18;25,2;15,6;33,7;0;152;7,4;1021,9
2022-07-19;29,4;20,4;38,1;0;131;12,6;1015,4
2022-07-20;22;17,6;29,1;16,8;212;11,6;1017,2
2022-07-21;17,6;16,7;19,5;1,5;262;11,9;1020,4
2022-07-22;17,6;12,8;22;0,5;40;7,5;1020,5
2022-07-23;20,4;13,3;26,3;0;25;6,5;1019,3
2022-07-24;23,7;15,4;30,5;0;204;9,8;1017,4
2022-07-25;21,4;19;24,1;0;234;15,2;1011,6
2022-07-26;17,8;15,7;21;0;278;11,1;1017,5
2022-07-27;16,8;11,3;20,7;0;32;9,9;1020,5
2022-07-28;18,7;12,7;23,3;0;54;11,9;1017,2
2022-07-29;20,4;14,8;25,7;0;349;10,4;1017
2022-07-30;20,2;13,1;26;0;265;6,3;1019,4
2022-07-31;20,6;17,5;23,8;0;231;12,8;1017,8
2022-08-01;20,5;17,8;25,4;0,3;310;8,6;1018,3
2022-08-02;22,3;17;28,2;0;220;10,6;1017,7
2022-08-03;25,2;17;32;0;234;6,9;1015,1
2022-08-04;22,3;18,7;27,4;3,6;317;7,8;1013,8
2022-08-05;19;15,9;22,7;0,3;356;12,5;1019
2022-08-06;16,6;9,7;22,3;0;18;8,9;1027,6
2022-08-07;18,8;13,2;24,2;0;14;12,3;1025,5
2022-08-08;19,7;14,1;24,9;0;25;13,2;1025,6
2022-08-09;21,6;15,4;27,6;0;37;13,8;1026,7
2022-08-10;23,5;16,3;30,3;0;54;12,6;1024,3
2022-08-11;25;17,3;31,5;0;70;9,5;1020,5
2022-08-12;25,3;17,7;32,1;0;73;10,2;1017,4
2022-08-13;24,9;16,5;31,5;0;103;9,5;1014,9
2022-08-14;25,1;17,2;31,9;0;128;8,9;1007,9
2022-08-15;23,6;20,3;28,6;0;219;11;1004,7
2022-08-16;22,9;17,5;28,1;0;221;7,2;1008,2
2022-08-17;20,9;17,8;23,8;1,8;35;7,5;1010,9
2022-08-18;20,9;16,6;26,3;0;330;5,4;1013,9
2022-08-19;19,2;15,6;23,8;11,9;240;8,3;1015,3
2022-08-20;18,5;14;23,8;0;244;9,5;1017,9
2022-08-21;18,2;12,1;23,7;0;240;6,6;1017,4
2022-08-22;21,3;16,5;27;0;108;6,5;1014,9
2022-08-23;22,2;15,7;28,1;0;232;7,1;1015,6
2022-08-24;23,8;17,6;30,7;0;62;6,8;1017,5
2022-08-25;24,8;18,5;32,5;0;104;11,7;1015
2022-08-26;19,8;18,3;22,7;0;335;13;1017,3
2022-08-27;18,5;14,6;21,2;0;13;9,9;1017,9
2022-08-28;18,9;15,4;23,6;0;38;15;1020
2022-08-29;18,1;13,4;23,1;0;48;11;1021,3
2022-08-30;20,5;15,5;26,6;0;37;13,3;1019,6
2022-08-31;20,2;16,4;25;0;43;13,4;1020,1
2022-09-01;20,5;14,6;25,8;0;71;10,3;1018,8
2022-09-02;20,8;14,3;27,7;0;114;8;1013,2
2022-09-03;19,8;17;26;0,8;146;6,9;1010,8
2022-09-04;20,8;15,3;27,2;0;177;11;1016,7
2022-09-05;22,5;16,5;30,9;10,7;142;13,2;1017,9
2022-09-06;21;16;27,9;1,5;178;11,4;1014,6
2022-09-07;19,6;15,8;24,1;0;197;10,1;1012,6
2022-09-08;16,5;13,4;20,3;18,3;194;11;1008,8
2022-09-09;15,6;13,2;19,3;4,8;199;17,9;1008,1
2022-09-10;16,8;14,9;20,5;0,3;252;13,7;1012,9
2022-09-11;16,8;13,2;22,7;0;181;5,4;1018,9
2022-09-12;18,8;12,5;26;0;166;7,7;1014,5
2022-09-13;19,2;17,1;22,6;1,5;135;4,5;1010,2
2022-09-14;15,3;13,9;17,9;7,5;48;8,9;1006,3
2022-09-15;14,4;11,5;18,2;0;282;6,6;1010,1
2022-09-16;11,7;9,4;14,3;4,3;289;10,5;1014,1
2022-09-17;10,7;8,9;13,1;7,7;275;10,7;1018
2022-09-18;11,5;7,7;15,7;1;263;12,6;1018,4
2022-09-19;11,8;7,1;16,3;1,3;267;8,9;1022,1
2022-09-20;11,5;8,4;15,5;0;291;6,5;1024,9
2022-09-21;10,9;6,4;17,2;0;53;5;1026,5
2022-09-22;12,7;6,6;19,3;0;144;7,5;1022,5
2022-09-23;13,7;9,1;18,3;0,3;196;6,9;1016,6
2022-09-24;12,7;11,9;13,8;8,4;220;9;1013,4
2022-09-25;12,3;9;16,1;0,3;331;8,3;1015,7
2022-09-26;10,8;9,1;11,8;11,7;216;15,2;1003,7
2022-09-27;9,6;8,1;12,2;8,6;249;9,5;1000,1
2022-09-28;9,6;6,1;14,7;1;245;9;998,7
2022-09-29;9,5;5;15,1;0;220;5,6;1002,8
2022-09-30;11,3;5,6;16,8;2,8;209;11,6;1009,7
2022-10-01;14,4;10,6;18,5;12,2;237;16,8;1007,5
2022-10-02;12,8;9,5;15;10,4;249;9,3;1019,6
2022-10-03;10,9;6,8;16,7;0;194;6;1027,3
2022-10-04;13,2;7,5;18,6;0;182;11,3;1021,4
2022-10-05;16,1;13,2;19,5;0;203;19,4;1016,9
2022-10-06;12,8;9,7;17,2;0;227;10,1;1028,7
2022-10-07;12,7;7,5;18;0;193;11;1024
2022-10-08;12,1;8,1;16,3;0,5;271;10,2;1022,2
2022-10-09;11,1;5,1;18,1;0;129;11;1021,7
2022-10-10;12,3;8,6;18,5;0;213;12;1016,9
2022-10-11;9,5;5,1;15,8;0;52;4,8;1026,5
2022-10-12;10,4;4,4;16,7;0;173;6,8;1023,5
2022-10-13;12,8;11,5;14,3;2;194;9,9;1018
2022-10-14;14,2;12,9;16,5;1,5;197;9,4;1011,9
2022-10-15;14,6;12,3;18,2;0,8;205;11,9;1007,5
2022-10-16;15,1;12,8;18,6;1,8;174;11;1013,9
2022-10-17;16,8;13,5;17,8;2,3;192;13,1;1019,4
2022-10-18;15,7;12,9;20,1;0;22;6,4;1027,4
2022-10-19;12,6;8,8;17,7;0;82;12,6;1023,7
2022-10-20;15,6;10,8;20,5;2;143;15;1011,4
2022-10-21;16,4;12,8;20,6;1;178;16;1007,3
2022-10-22;15,5;13,8;19,4;0;183;14,1;1012,3
2022-10-23;16,5;13,8;20;2,5;153;18,5;1008
2022-10-24;15,8;13;17,6;6,1;208;21,6;1006,9
2022-10-25;14,2;12,5;17,8;0;196;14,6;1015
2022-10-26;16,8;13;20,1;0;182;16,7;1015,5
2022-10-27;17,9;14,5;22,1;0;154;20,6;1019,5
2022-10-28;18,3;15,4;22,4;0;189;14,3;1018,2
2022-10-29;18,6;14,1;25,5;0;155;11,4;1018,2
2022-10-30;15,6;12,8;20,2;0;207;6,9;1017,9
2022-10-31;14,5;10,4;19,5;0,5;140;11,4;1016,2
2022-11-01;14,7;11,6;17,4;1,2;197;24,9;1013,8
2022-11-02;12,6;10,4;15;0;205;20,7;1019,1
2022-11-03;12,1;9,7;14,9;4,1;179;21;1006,6
2022-11-04;8,9;6,5;11,4;0,5;235;9,3;1007,9
2022-11-05;7,8;3,9;11,2;0;199;11,6;1017,8
2022-11-06;9,8;7,7;11,3;4,1;179;22,4;1010,6
2022-11-07;13;8,9;14,7;0,5;198;19,8;1010,5
2022-11-08;13,6;10,9;15,5;0;177;24,3;1006,2
2022-11-09;12,2;10,4;14,4;0,1;210;17,9;1010,2
2022-11-10;10,9;8,7;15,1;0;205;14,9;1024,2
2022-11-11;9,6;6,9;13,7;0;193;12;1030,4
2022-11-12;10,2;5,6;17,2;0;140;7,8;1030
2022-11-13;9,3;5;16,1;0;120;8;1022
2022-11-14;5,8;3,3;10,1;0;171;11,1;1012
2022-11-15;11,2;6,3;12,6;5,3;171;18,2;1004,5
2022-11-16;10,2;8,2;12,3;9,4;169;18,6;997,4
2022-11-17;10,4;9,1;11,9;6,1;194;25,1;988,1
2022-11-18;8,9;7,1;10,9;1,5;213;12,3;1001,4
2022-11-19;5,2;2,4;7,6;5,8;84;6,5;1010,7
2022-11-20;5,6;2,3;8,3;1,5;221;9,9;1009,6
2022-11-21;6,2;3,5;8,2;3,6;181;13,8;1000,7
2022-11-22;6,7;4,3;8,9;1,3;195;20,1;993,1
2022-11-23;7,9;5,7;9,4;5,6;187;20,3;998
2022-11-24;9,2;7,2;11,6;0;196;19,9;1008,8
2022-11-25;8,4;5,5;11,3;5,1;219;11,9;1016,6
2022-11-26;6,8;3,9;11,1;0;182;12,8;1028,4
2022-11-27;7,1;6,4;8,5;3,6;169;19,4;1018,6
2022-11-28;8,2;4,6;9,4;4,3;203;10,4;1011,3
2022-11-29;5;3,5;6;0;223;4,5;1019,3
2022-11-30;5,4;4,2;7,1;0;308;4,5;1025
2022-12-01;5,3;4,4;6,2;0;24;11,1;1027,3
2022-12-02;3,5;1,6;5;0;42;12,6;1023,5
2022-12-03;1,7;-0,6;2,5;0;57;15,9;1020
2022-12-04;0,8;0,2;1,3;0;56;14,4;1016,7
2022-12-05;2,3;0,7;4;3,7;359;7,8;1019,7
2022-12-06;5,1;3,2;6,6;0,5;307;7,8;1021
2022-12-07;3,9;2,5;6,3;3,3;266;9,6;1018,1
2022-12-08;2,3;-1,1;4,7;0,5;233;13,9;1010,4
2022-12-09;-1,7;-3,5;0,1;0;205;5,3;1007,1
2022-12-10;-1,1;-3,2;0,5;0;217;10,1;1010,9
2022-12-11;0,2;-3;1,9;0;195;13,2;1010,7
2022-12-12;-2,1;-4,7;2,5;0;141;8,8;1012
2022-12-13;-2,7;-5,1;0,1;0;95;11,5;1009,2
2022-12-14;-2,5;-5,5;0,2;0;42;5,8;1003,8
2022-12-15;-3,1;-6,4;2,8;0;192;4,4;1008,9
2022-12-16;-0,9;-5,7;2,4;0;309;7,6;1015,5
2022-12-17;-3,4;-6,1;1,2;0;182;7,9;1025,4
2022-12-18;-0,8;-5,2;4,3;2,5;161;16;1023,9
2022-12-19;7,2;4,5;9,6;3,3;197;28;1016,3
2022-12-20;10,5;9,1;12,3;21,1;202;23,5;1011,8
2022-12-21;8,3;6,6;9,6;1,3;217;16,2;1010,1
2022-12-22;9,8;8,1;10,9;8,1;230;16,2;1005
2022-12-23;10,7;9,1;13,3;10,4;231;21,5;1004,9
2022-12-24;10,1;8,6;11,8;4,1;222;19;1012,6
2022-12-25;9,9;9;11,1;23,1;198;14;1011,8
2022-12-26;7,4;3,3;10,7;1,7;242;21,1;1015,9
2022-12-27;5,7;3,5;8;0;215;21,3;1024,1
2022-12-28;9;6,3;10,7;5,2;211;32,4;1010,7
2022-12-29;8,9;6,3;11,1;1,3;226;31,6;1005,4
2022-12-30;8,3;4,6;12,7;6;202;28,1;1005,5
2022-12-31;14,4;12,9;15,7;8;213;36,3;1006,9
